ts_iso,tMono_s,kind,accLong_ms2,accLat_ms2,accVert_ms2,lat,lng,speed_ms,gpsAcc_m
2026-05-01T19:10:20.786Z,9561.382905,imu,-0.910829,0.903672,-0.585780,,,,
2026-05-01T19:10:20.796Z,9561.392841,imu,-0.495105,1.057465,-0.766692,,,,
2026-05-01T19:10:20.806Z,9561.402739,imu,0.139617,0.798808,-1.644932,,,,
2026-05-01T19:10:20.816Z,9561.412769,imu,0.629090,0.479041,-2.946239,,,,
2026-05-01T19:10:20.826Z,9561.422604,imu,0.711147,0.270184,-4.206207,,,,
2026-05-01T19:10:20.836Z,9561.432635,imu,0.700885,0.092800,-4.968711,,,,
2026-05-01T19:10:20.846Z,9561.442513,imu,0.518591,0.308358,-4.971612,,,,
2026-05-01T19:10:20.856Z,9561.452554,imu,0.080034,0.612550,-3.910366,,,,
2026-05-01T19:10:20.866Z,9561.462397,imu,-0.253413,0.613427,-2.392592,,,,
2026-05-01T19:10:20.876Z,9561.472394,imu,-0.415208,0.630838,-1.117560,,,,
2026-05-01T19:10:20.886Z,9561.482373,imu,-0.571866,0.731175,-0.388320,,,,
2026-05-01T19:10:20.896Z,9561.492301,imu,-0.631994,0.743670,-0.005877,,,,
2026-05-01T19:10:20.906Z,9561.502225,imu,-0.579318,0.663566,-0.012084,,,,
2026-05-01T19:10:20.916Z,9561.512324,imu,-0.504179,0.675049,-0.369585,,,,
2026-05-01T19:10:20.925Z,9561.522005,imu,-0.488888,0.759009,-0.767608,,,,
2026-05-01T19:10:20.935Z,9561.532127,imu,-0.400898,0.853375,-0.905696,,,,
2026-05-01T19:10:20.945Z,9561.541991,imu,-0.209931,0.926145,-0.641040,,,,
2026-05-01T19:10:20.955Z,9561.552054,imu,0.071572,0.985592,-0.066141,,,,
2026-05-01T19:10:20.966Z,9561.562286,imu,0.386907,1.042067,0.655554,,,,
2026-05-01T19:10:20.976Z,9561.572239,imu,0.679647,1.154413,1.327791,,,,
2026-05-01T19:10:20.985Z,9561.581965,imu,0.872192,1.194737,2.024350,,,,
2026-05-01T19:10:20.995Z,9561.591820,imu,0.931153,1.145282,2.746759,,,,
2026-05-01T19:10:21.005Z,9561.601703,imu,0.940344,1.037044,3.454276,,,,
2026-05-01T19:10:21.015Z,9561.612081,imu,0.887830,0.895101,3.931011,,,,
2026-05-01T19:10:21.025Z,9561.622124,imu,0.680051,0.764328,4.055927,,,,
2026-05-01T19:10:21.035Z,9561.631521,imu,0.365425,0.614804,4.026185,,,,
2026-05-01T19:10:21.045Z,9561.641609,imu,-0.035277,0.420752,3.844097,,,,
2026-05-01T19:10:21.055Z,9561.651546,imu,-0.460325,0.197352,3.549773,,,,
2026-05-01T19:10:21.065Z,9561.662076,imu,-0.816520,-0.018320,3.216596,,,,
2026-05-01T19:10:21.075Z,9561.671369,imu,-1.036898,-0.243770,2.898207,,,,
2026-05-01T19:10:21.085Z,9561.681424,imu,-1.191607,-0.427638,2.631581,,,,
2026-05-01T19:10:21.090Z,9561.687064,gps,,,,-15.745839,-47.850031,1.462301,4.748652
2026-05-01T19:10:21.095Z,9561.691187,imu,-1.262834,-0.611750,2.457637,,,,
2026-05-01T19:10:21.104Z,9561.701145,imu,-1.158198,-0.812433,2.268171,,,,
2026-05-01T19:10:21.114Z,9561.711068,imu,-0.919384,-0.935118,2.106166,,,,
2026-05-01T19:10:21.125Z,9561.721182,imu,-0.617499,-0.951269,2.029570,,,,
2026-05-01T19:10:21.134Z,9561.731020,imu,-0.364263,-0.936696,1.934668,,,,
2026-05-01T19:10:21.145Z,9561.741950,imu,-0.325897,-0.974829,1.758682,,,,
2026-05-01T19:10:21.154Z,9561.750872,imu,-0.507558,-0.986093,1.445173,,,,
2026-05-01T19:10:21.164Z,9561.760950,imu,-0.753950,-0.950262,0.966080,,,,
2026-05-01T19:10:21.174Z,9561.770794,imu,-0.904222,-0.934438,0.392453,,,,
2026-05-01T19:10:21.184Z,9561.780701,imu,-0.916282,-0.892997,-0.123383,,,,
2026-05-01T19:10:21.194Z,9561.790836,imu,-0.834226,-0.807870,-0.509321,,,,
2026-05-01T19:10:21.204Z,9561.800630,imu,-0.671737,-0.696251,-0.667571,,,,
2026-05-01T19:10:21.214Z,9561.810513,imu,-0.436794,-0.467103,-0.580665,,,,
2026-05-01T19:10:21.224Z,9561.820780,imu,-0.267041,-0.200261,-0.387937,,,,
2026-05-01T19:10:21.234Z,9561.830435,imu,-0.223072,0.030629,-0.206836,,,,
2026-05-01T19:10:21.244Z,9561.840373,imu,-0.251800,0.211211,-0.166253,,,,
